estimated_population,building_type,quality_flag,estimated_units,footprint_area_sqft,GEOID,STAT_LAND_,people_per_unit_ratio,estimation_notes
2.6,single_family_detached,ok,1,320.2767315795103,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,74.52378523162938,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,1042.9166905544955,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,226.60006343911493,482012516003,A1,2.8,none
2.0,single_family_detached,ok,1,365.9893839857938,482012517021,A1,2.5308641975308643,none
2.6,single_family_detached,ok,1,199.38293810621238,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,229.0570540435714,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,437.2597447574983,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,242.60109624969627,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,92.90569480076198,482012516003,A2,2.8,none
2.0,single_family_detached,ok,1,371.70080000257457,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,288.3043038491062,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,137.1983011547226,482012516001,A1,5.983539094650205,none
4.9,mobile_home,ok,1,118.88282583281266,482012516001,A2,5.983539094650205,none
4.9,mobile_home,ok,1,177.31749449166185,482012516001,A2,5.983539094650205,none
4.9,single_family_detached,ok,1,234.69522689412761,482012516001,A1,5.983539094650205,none
